epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1335.43,1.96728,2.45426,1.7579,0.32486,0.34185,0.26247,0.10226,2.01317,2.51022,1.90321,0.000664523,0.000664523,0.000664523
2,2614.56,1.934,2.14359,1.72823,0.47971,0.42934,0.41808,0.17366,1.93366,2.19069,1.80181,0.00130483,0.00130483,0.00130483
3,3909.91,1.95834,2.089,1.7801,0.47359,0.40919,0.39821,0.16848,1.96714,2.12507,1.83957,0.00191874,0.00191874,0.00191874
4,5407.97,1.9576,1.99271,1.75276,0.4821,0.42615,0.41583,0.18237,1.88091,2.16256,1.77827,0.0018812,0.0018812,0.0018812
5,7022.58,1.909,1.93637,1.72447,0.53675,0.44655,0.46714,0.20339,1.85611,1.9004,1.76435,0.0018416,0.0018416,0.0018416
6,8897.11,1.8951,1.88527,1.72039,0.5411,0.45814,0.45869,0.20396,1.80621,2.00665,1.72056,0.001802,0.001802,0.001802
7,10655.5,1.87834,1.81667,1.69637,0.56878,0.4979,0.51491,0.2305,1.82866,1.73904,1.71271,0.0017624,0.0017624,0.0017624
8,11883,1.84339,1.81174,1.6862,0.58693,0.50086,0.54389,0.26042,1.764,1.67645,1.66995,0.0017228,0.0017228,0.0017228
9,13949.2,1.81482,1.75521,1.6518,0.63406,0.51782,0.58568,0.286,1.72874,1.59821,1.63902,0.0016832,0.0016832,0.0016832
10,15344.5,1.82938,1.72237,1.66185,0.62103,0.54652,0.60482,0.3017,1.70756,1.5188,1.6049,0.0016436,0.0016436,0.0016436
11,16707.2,1.77576,1.67997,1.62342,0.58675,0.52667,0.56834,0.27629,1.69479,1.57953,1.6193,0.001604,0.001604,0.001604
12,18110.4,1.77027,1.68479,1.62068,0.61588,0.55876,0.60421,0.3001,1.67926,1.5323,1.59259,0.0015644,0.0015644,0.0015644
13,19454.1,1.77264,1.65364,1.62043,0.63349,0.54731,0.60426,0.29356,1.70941,1.51263,1.61252,0.0015248,0.0015248,0.0015248
14,20809.9,1.76258,1.69056,1.62283,0.64256,0.5596,0.61198,0.29844,1.68192,1.50308,1.60933,0.0014852,0.0014852,0.0014852
15,22003.6,1.73073,1.59911,1.59259,0.66042,0.52937,0.60156,0.3063,1.64879,1.48425,1.58575,0.0014456,0.0014456,0.0014456
16,23237.6,1.7306,1.58383,1.60011,0.66403,0.58712,0.64194,0.33155,1.62597,1.46311,1.56054,0.001406,0.001406,0.001406
17,24567,1.71958,1.56746,1.59535,0.64157,0.58288,0.63909,0.33042,1.62661,1.43863,1.55846,0.0013664,0.0013664,0.0013664
18,25979.6,1.70204,1.56002,1.56487,0.65163,0.55984,0.62777,0.32724,1.60326,1.43356,1.54985,0.0013268,0.0013268,0.0013268
19,27254.9,1.70315,1.56169,1.58707,0.64417,0.59966,0.65375,0.32854,1.67223,1.38387,1.57566,0.0012872,0.0012872,0.0012872
20,30290,1.69951,1.59347,1.58395,0.62228,0.55468,0.61365,0.3284,1.58871,1.4516,1.54307,0.0012476,0.0012476,0.0012476
21,34043.2,1.67577,1.5175,1.54655,0.68487,0.60782,0.68029,0.35695,1.5819,1.33672,1.51988,0.001208,0.001208,0.001208
22,37621.8,1.66433,1.47792,1.54491,0.68138,0.60629,0.67301,0.35566,1.61486,1.31957,1.53974,0.0011684,0.0011684,0.0011684
