epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,45154.2,1.66924,1.49219,1.55303,0.70218,0.60319,0.68363,0.35493,1.59616,1.36504,1.52493,0.0011288,0.0011288,0.0011288
24,53145.7,1.65811,1.49049,1.53715,0.68192,0.61981,0.68218,0.36639,1.55491,1.29541,1.50957,0.0010892,0.0010892,0.0010892
25,54364,1.66124,1.47068,1.53078,0.6453,0.59646,0.65065,0.34695,1.56474,1.35633,1.49158,0.0010496,0.0010496,0.0010496
26,55639.5,1.64318,1.45818,1.53071,0.70213,0.61927,0.69788,0.38087,1.51939,1.30669,1.48962,0.00101,0.00101,0.00101
27,57154.6,1.62613,1.43262,1.51773,0.69671,0.62251,0.68558,0.36259,1.56788,1.29672,1.52135,0.0009704,0.0009704,0.0009704
28,67201.1,1.61491,1.41419,1.51961,0.71633,0.64512,0.71113,0.37919,1.51736,1.26618,1.47534,0.0009308,0.0009308,0.0009308
29,76227.1,1.62534,1.42589,1.52264,0.70943,0.63652,0.70798,0.39202,1.5068,1.22753,1.47073,0.0008912,0.0008912,0.0008912
30,77474.5,1.59882,1.39839,1.50726,0.71263,0.63971,0.7145,0.39039,1.50238,1.23058,1.46119,0.0008516,0.0008516,0.0008516
31,78837.3,1.6044,1.41064,1.52113,0.68248,0.62866,0.69765,0.38868,1.49526,1.25503,1.45587,0.000812,0.000812,0.000812
32,84599.4,1.59569,1.3922,1.50165,0.69035,0.64586,0.71533,0.40302,1.46656,1.25207,1.43003,0.0007724,0.0007724,0.0007724
33,85835.5,1.577,1.36206,1.49549,0.71411,0.63849,0.7216,0.40446,1.45438,1.20991,1.4374,0.0007328,0.0007328,0.0007328
34,104794,1.56763,1.35015,1.48113,0.69937,0.63554,0.71983,0.40448,1.46104,1.19333,1.42741,0.0006932,0.0006932,0.0006932
35,105958,1.56328,1.35945,1.4901,0.72423,0.66675,0.74128,0.41606,1.46305,1.15022,1.42935,0.0006536,0.0006536,0.0006536
36,108140,1.56833,1.34815,1.48203,0.73321,0.65716,0.74384,0.42173,1.44879,1.14155,1.43304,0.000614,0.000614,0.000614
37,110470,1.54854,1.33592,1.46836,0.72342,0.66208,0.74152,0.42318,1.43459,1.16719,1.41352,0.0005744,0.0005744,0.0005744
38,111837,1.55186,1.3373,1.4717,0.71193,0.64987,0.72673,0.40638,1.46556,1.17712,1.44242,0.0005348,0.0005348,0.0005348
39,144551,1.54685,1.30668,1.472,0.69668,0.68346,0.73669,0.43395,1.39349,1.1241,1.38879,0.0004952,0.0004952,0.0004952
40,145734,1.53409,1.31857,1.46974,0.72916,0.67805,0.75578,0.43497,1.40928,1.14281,1.39175,0.0004556,0.0004556,0.0004556
41,147586,1.49887,1.26766,1.46687,0.73342,0.67265,0.75001,0.43073,1.41218,1.12526,1.40171,0.000416,0.000416,0.000416
42,150305,1.46696,1.21573,1.45279,0.73121,0.67412,0.75339,0.44187,1.37521,1.10736,1.38207,0.0003764,0.0003764,0.0003764
43,152002,1.45527,1.18524,1.44352,0.74428,0.67524,0.76331,0.45671,1.36779,1.076,1.37191,0.0003368,0.0003368,0.0003368
44,153181,1.44253,1.17319,1.42314,0.74728,0.67609,0.7588,0.44557,1.37635,1.1011,1.36863,0.0002972,0.0002972,0.0002972
45,154448,1.43848,1.17329,1.42976,0.75022,0.69458,0.77428,0.45348,1.38675,1.06254,1.37122,0.0002576,0.0002576,0.0002576
46,155775,1.42623,1.14924,1.41438,0.7644,0.68002,0.77421,0.46518,1.34028,1.05671,1.35139,0.000218,0.000218,0.000218
47,156982,1.4105,1.15078,1.41838,0.76368,0.69182,0.78486,0.47458,1.32572,1.03622,1.34418,0.0001784,0.0001784,0.0001784
48,158095,1.39754,1.12899,1.39997,0.75837,0.69059,0.78523,0.47442,1.32137,1.029,1.34041,0.0001388,0.0001388,0.0001388
49,159283,1.40755,1.11627,1.41115,0.77233,0.69919,0.78904,0.47114,1.33585,1.02495,1.34927,9.92e-05,9.92e-05,9.92e-05
50,161151,1.39006,1.10422,1.3958,0.77547,0.69599,0.78911,0.47878,1.31919,1.01459,1.339,5.96e-05,5.96e-05,5.96e-05
